epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
29,0.9743098020553589,0.9958627223968506,0.0703926533460617,0.9834582805633545,0.9819355010986328,0.8125,0.9140625,0.5399826169013977,1.0,0.625,0.0002500000118743628
30,0.9712423086166382,0.993730366230011,0.08443522453308105,0.9808933734893799,0.9803870916366577,0.9375,1.0,0.15414923429489136,1.0,0.875,0.0002500000118743628
31,0.9722009301185608,0.993611752986908,0.07752016931772232,0.9799279570579529,0.9827097058296204,0.625,0.6328125,1.1572026014328003,0.75,0.375,0.0002500000118743628
32,0.9714340567588806,0.9955381751060486,0.07126151025295258,0.9818934202194214,0.9796128869056702,0.5625,0.984375,1.0212674140930176,0.5333333611488342,1.0,0.0002500000118743628
33,0.9731594920158386,0.9937105178833008,0.08032071590423584,0.9826828837394714,0.9811612963676453,0.75,0.9296875,0.615140438079834,1.0,0.5,0.0002500000118743628
34,0.9702837467193604,0.994509756565094,0.07700416445732117,0.9808686375617981,0.9790967702865601,0.5,0.9765625,1.7483453750610352,0.5,1.0,0.0002500000118743628
35,0.972967803478241,0.995448887348175,0.07200125604867935,0.9821797609329224,0.9814193844795227,0.5625,0.78125,1.061248540878296,0.6000000238418579,0.375,0.0002500000118743628
36,0.9718174934387207,0.9953435063362122,0.07103801518678665,0.9829015731811523,0.9790967702865601,0.625,1.0,0.7788622379302979,0.5714285969734192,1.0,0.0001250000059371814
37,0.9783359169960022,0.9965399503707886,0.06244489178061485,0.9860464930534363,0.9847741723060608,0.875,1.0,0.21970099210739136,0.800000011920929,1.0,0.0001250000059371814
38,0.9796779155731201,0.9969948530197144,0.05591338872909546,0.9880859851837158,0.9845161437988281,0.625,0.9921875,0.6095976829528809,0.5714285969734192,1.0,0.0001250000059371814
39,0.9760352969169617,0.9952263236045837,0.07097246497869492,0.9844961166381836,0.9832258224487305,0.875,0.984375,0.222209632396698,0.875,0.875,0.0001250000059371814
40,0.9804447889328003,0.9967511892318726,0.05750679969787598,0.9873417615890503,0.9863225817680359,0.5625,0.953125,1.5606306791305542,0.5333333611488342,1.0,0.0001250000059371814
