epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.8508435487747192,0.9154573082923889,0.40853047370910645,0.9353387951850891,0.8585806488990784,0.5,0.8203125,2.15797758102417,0.5,1.0,0.0010000000474974513
2,0.9091257452964783,0.9510272741317749,0.2597965896129608,0.9422626495361328,0.9349677562713623,0.5,0.3828125,1.7568507194519043,0.5,1.0,0.0010000000474974513
3,0.9212039709091187,0.9627059102058411,0.2198510617017746,0.9466219544410706,0.9473548531532288,0.5,0.671875,1.359262228012085,0.5,1.0,0.0010000000474974513
4,0.9273389577865601,0.9695702791213989,0.19453823566436768,0.9493573307991028,0.9530322551727295,0.75,0.671875,1.2732669115066528,0.6666666865348816,1.0,0.0010000000474974513
5,0.9305981397628784,0.9733977913856506,0.1800631731748581,0.9511944651603699,0.9556128978729248,0.5625,0.453125,4.50364875793457,1.0,0.125,0.0010000000474974513
6,0.935774564743042,0.9762353301048279,0.17110440135002136,0.95712810754776,0.9563871026039124,0.4375,0.875,1.1826283931732178,0.46666666865348816,0.875,0.0010000000474974513
7,0.9419094920158386,0.9794833064079285,0.1562371850013733,0.9607843160629272,0.9610322713851929,0.5,0.890625,1.443834900856018,0.5,1.0,0.0010000000474974513
8,0.9378834366798401,0.9773874878883362,0.16652971506118774,0.9570141434669495,0.9594838619232178,0.5,0.5859375,1.4095304012298584,0.5,0.5,0.0010000000474974513
9,0.9405674934387207,0.9826411008834839,0.14690637588500977,0.9578731060028076,0.9623225927352905,0.5,0.84375,1.5060787200927734,0.5,1.0,0.0010000000474974513
10,0.9501533508300781,0.9833245277404785,0.14047856628894806,0.9640564918518066,0.9690322875976562,0.625,0.984375,0.44604676961898804,0.5714285969734192,1.0,0.0010000000474974513
11,0.9559049010276794,0.9875176548957825,0.12151515483856201,0.9705654382705688,0.9700645208358765,0.5,0.7578125,2.6052663326263428,0.5,1.0,0.0010000000474974513
12,0.956480085849762,0.9885454177856445,0.11609061062335968,0.9698609113693237,0.9716129302978516,0.4375,0.53125,5.142889499664307,0.4545454680919647,0.625,0.0010000000474974513
13,0.9591640830039978,0.9891726970672607,0.11273636668920517,0.9743523597717285,0.9705806374549866,0.5,0.53125,4.8932061195373535,0.0,0.0,0.0010000000474974513
14,0.9574386477470398,0.989342451095581,0.11303165555000305,0.9686938524246216,0.9741935729980469,0.5625,0.6953125,1.7690205574035645,0.6000000238418579,0.375,0.0010000000474974513
15,0.9549463391304016,0.9879428744316101,0.12013275921344757,0.9695562720298767,0.969806432723999,0.5625,0.765625,1.9593899250030518,0.5333333611488342,1.0,0.0010000000474974513
16,0.9626150131225586,0.9912780523300171,0.10089289397001266,0.9732510447502136,0.9765161275863647,0.75,0.984375,0.35996052622795105,1.0,0.5,0.0005000000237487257
17,0.956863522529602,0.9907270073890686,0.1066671758890152,0.9730430245399475,0.9687741994857788,0.5,0.625,4.542036056518555,0.5,1.0,0.0005000000237487257
18,0.964532196521759,0.9910427331924438,0.09987004101276398,0.9752704501152039,0.9770322442054749,0.75,1.0,0.5466059446334839,0.6666666865348816,1.0,0.0005000000237487257
19,0.9616564512252808,0.9908603429794312,0.10428281128406525,0.9751745462417603,0.9731612801551819,0.6875,0.875,0.5140495300292969,0.800000011920929,0.5,0.0005000000237487257
20,0.964532196521759,0.9928816556930542,0.09317947179079056,0.9764979481697083,0.9757419228553772,0.6875,0.796875,0.9471800327301025,0.6153846383094788,1.0,0.0005000000237487257
21,0.9656825065612793,0.9928187727928162,0.08785194158554077,0.9770263433456421,0.9767742156982422,0.5,0.6875,3.2316067218780518,0.5,1.0,0.0005000000237487257
22,0.973351240158081,0.9947577714920044,0.07478400319814682,0.9814432859420776,0.9827097058296204,0.6875,0.7890625,0.6083996891975403,0.6666666865348816,0.75,0.0002500000118743628
23,0.9714340567588806,0.993754506111145,0.07857541739940643,0.9828926920890808,0.97858065366745,0.5,0.59375,1.710899829864502,0.5,0.125,0.0002500000118743628
24,0.9731594920158386,0.9933227896690369,0.08201965689659119,0.9829325079917908,0.9809032082557678,0.5625,0.6875,1.7405012845993042,0.5333333611488342,1.0,0.0002500000118743628
25,0.9714340567588806,0.9936450719833374,0.08344145119190216,0.9811466932296753,0.9803870916366577,0.875,0.953125,0.3376957178115845,0.875,0.875,0.0002500000118743628
26,0.9691334366798401,0.9945360422134399,0.07791867852210999,0.9781153202056885,0.9803870916366577,0.5625,0.6875,2.913360595703125,0.5333333611488342,1.0,0.0002500000118743628
27,0.9716257452964783,0.9935650825500488,0.08051884174346924,0.9801597595214844,0.9816774129867554,0.9375,1.0,0.19227257370948792,1.0,0.875,0.0002500000118743628
28,0.9706671833992004,0.9932765364646912,0.08661425858736038,0.9806301593780518,0.9798709750175476,0.5,0.84375,1.985382080078125,0.5,1.0,0.0002500000118743628
